trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2017,False,"{'a': 0.4, 'e': 0.5331303703217404}",30,0,-21.968971540900526,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
2018,False,"{'a': 0.4, 'e': 0.5327072871474963}",20,0,-63.451341358898276,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2019,False,"{'a': 0.4, 'e': 0.5322840707964334}",20,8,-25.129313362323888,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
2020,False,"{'a': 0.4, 'e': 0.5318607213743555}",20,11,-35.50548946206347,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
2021,False,"{'a': 0.4, 'e': 0.5314372389871}",20,0,-15.715481312244533,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2022,False,"{'a': 0.4, 'e': 0.5310136237405375}",25,14,14.286887180955116,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2023,False,"{'a': 0.4, 'e': 0.5305898757405719}",20,0,-1.821518901153106,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2024,False,"{'a': 0.4, 'e': 0.5301659950931402}",20,13,-12.082747716469402,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
2025,False,"{'a': 0.4, 'e': 0.5297419819042124}",20,0,-97.9432103600603,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2026,False,"{'a': 0.4, 'e': 0.5293178362797918}",20,0,-19.901701845248216,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2027,False,"{'a': 0.4, 'e': 0.528893558325915}",30,0,-17.60267621223293,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
2028,False,"{'a': 0.4, 'e': 0.5284691481486514}",35,17,-52.079730782516314,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
2029,False,"{'a': 0.4, 'e': 0.5280446058541035}",25,18,-6.596810001760664,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
2030,False,"{'a': 0.4, 'e': 0.5276199315484067}",20,15,8.873961666548821,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2031,False,"{'a': 0.4, 'e': 0.5271951253377299}",25,4,-5.513135435901381,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
2032,False,"{'a': 0.4, 'e': 0.5267701873282746}",20,0,13.78257669975355,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
2033,False,"{'a': 0.4, 'e': 0.5263451176262752}",25,20,10.72890780977264,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2034,False,"{'a': 0.4, 'e': 0.525919916337999}",20,11,-33.92565747386643,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
2035,False,"{'a': 0.4, 'e': 0.5254945835697465}",20,5,-1.7248665195590402,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
2036,False,"{'a': 0.4, 'e': 0.525069119427851}",35,13,-27.189856857504196,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
2037,False,"{'a': 0.4, 'e': 0.5246435240186782}",25,0,-23.367303518272408,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
2038,False,"{'a': 0.4, 'e': 0.5242177974486271}",20,12,0.5204140868545779,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
